Branch,Semester,Subject Code,Subject Title,Type,Faculty Name(s)
IT,Sem 3,"ECC301L","Analog Electronics Lab",LAB,""
IT,Sem 3,"PCS301","Data Structures using 'C'",THEORY,""
IT,Sem 3,"PCS301L","Data Structures Lab",LAB,""
IT,Sem 3,"PCS302","Computer Architecture & Organization",THEORY,""
IT,Sem 3,"PCS303L","IT Workshop Lab using C",LAB,""
IT,Sem 4,"MC220","Constitution of India",THEORY,""
IT,Sem 4,"ESC401","Digital Electronics",THEORY,""
IT,Sem 4,"PCS401","Mathematical Foundations in Computer Science",THEORY,""
IT,Sem 4,"PCS402","Design and Analysis of Algorithms",THEORY,""
IT,Sem 4,"PCS403","Operating Systems",THEORY,""
IT,Sem 4,"PCS403L","Operating Systems Lab",LAB,""
IT,Sem 4,"PCS404","OOP Through JAVA",THEORY,""
IT,Sem 4,"PCS404L","OOP Through JAVA Lab",LAB,""
IT,Sem 5,"PC3101IT","Database Management Systems",THEORY,""
IT,Sem 5,"PC3102IT","Theory of Computation",THEORY,""
IT,Sem 5,"ES3103IT","Principles of Signals and Systems",THEORY,""
IT,Sem 5,"PE3104IT","Web Programming (Professional Elective – I)",THEORY,""
IT,Sem 5,"PE3105IT","Advanced Java (Professional Elective – I)",THEORY,""
IT,Sem 5,"PE3106IT","Advanced Data Structures (Professional Elective – I)",THEORY,""
IT,Sem 5,"HS3108-","Managerial Economics and Accountancy",THEORY,""
IT,Sem 5,"PC3109IT","Database Management Systems Lab",LAB,""
IT,Sem 5,"PE3110IT","Web Programming Lab (Professional Elective – I Lab)",LAB,""
IT,Sem 5,"PE3111IT","Advanced Java Lab (Professional Elective – I Lab)",LAB,""
IT,Sem 5,"PE3112IT","Advanced Data Structures Lab (Professional Elective – I Lab)",LAB,""
IT,Sem 6,"PC3201IT","Compiler Design",THEORY,""
IT,Sem 6,"PC3202IT","Computer Networks",THEORY,""
IT,Sem 6,"PC3203IT","Software Engineering",THEORY,""
IT,Sem 6,"PE3204IT","Advanced Database Management Systems (Professional Elective – II)",THEORY,""
IT,Sem 6,"PE3205IT","Advanced Operating Systems (Professional Elective – II)",THEORY,""
IT,Sem 6,"PE3206IT","Computer Graphics (Professional Elective – II)",THEORY,""
IT,Sem 6,"OE3213EC","Microprocessors and Interfacing (Open Elective-I)",THEORY,""
IT,Sem 6,"OE3207CS","Fundamentals of Data Structures (Open Elective-I)",THEORY,""
IT,Sem 6,"PC3208IT","Compiler Design Lab",LAB,""
IT,Sem 6,"PC3209IT","Software Engineering Lab",LAB,""
IT,Sem 7,"PE4101IT","Python Programming (Professional Elective - III)",THEORY,""
IT,Sem 7,"PE4102IT","Software Testing (Professional Elective - IV)",THEORY,""
IT,Sem 7,"PE4103IT","Object Oriented Analysis and Design (Professional Elective - IV)",THEORY,""
IT,Sem 7,"PE4104IT","Artificial Intelligence (Professional Elective - V)",THEORY,""
IT,Sem 7,"PE4105IT","Mobile Application Development (Professional Elective - V)",THEORY,""
IT,Sem 7,"PE4106IT","Cryptography& Information Security (Professional Elective - VI)",THEORY,""
IT,Sem 7,"PE4107IT","Big Data Analytics (Professional Elective - VI)",THEORY,""
IT,Sem 7,"PE4109IT","Python Lab (Professional Elective – III Lab)",LAB,""
IT,Sem 7,"PE4110IT","Software Testing Lab (Professional Elective – IV Lab)",LAB,""
IT,Sem 7,"PE4111IT","Object Oriented Analysis and Design Lab (Professional Elective – IV Lab)",LAB,""
IT,Sem 7,"PW4108IT","Mini Project – II",LAB,""
IT,Sem 8,"PE4201IT","Machine Learning (Professional Elective – VII)",THEORY,""
IT,Sem 8,"PE4202IT","Data Science (Professional Elective – VII)",THEORY,""
IT,Sem 8,"PE4203IT","Image Processing (Professional Elective – VIII)",THEORY,""
IT,Sem 8,"PE4204IT","Cloud Computing (Professional Elective – VIII)",THEORY,""
IT,Sem 8,"OE4201EE","Non-Conventional Energy Sources (Open Elective – II)",THEORY,""
IT,Sem 8,"OE4206EC","Basics of IoT (Open Elective – II)",THEORY,""
IT,Sem 8,"OE4207ME","Basics of Alloy Steel Structures (Open Elective – II)",THEORY,""
IT,Sem 8,"OE4208EC","VLSI Design (Open Elective – II)",THEORY,""
IT,Sem 8,"MC- 42aHS","Yoga Practice (Mandatory Non-Credit course)",THEORY,""
IT,Sem 8,"MC- 42bHS","NSS (Mandatory Non-Credit course)",THEORY,""
MECH,Sem 1,"BSC101","Physics",THEORY,""
MECH,Sem 1,"BSC101L","Physics-Practical",LAB,""
MECH,Sem 1,"BSC103","Mathematics-I",THEORY,""
MECH,Sem 1,"ESC101","Basic Electrical Engineering",THEORY,""
MECH,Sem 1,"ESC101L","Basic Electrical Engineering Lab",LAB,""
MECH,Sem 1,"ESC102","Engineering Graphics & Design",THEORY,""
MECH,Sem 1,"ESC102L","Engineering Graphics & Design Lab",LAB,""
MECH,Sem 2,"BSC102","Chemistry",THEORY,""
MECH,Sem 2,"BSC102L","Chemistry Laboratory",LAB,""
MECH,Sem 2,"BSC104","Mathematics-II",THEORY,""
MECH,Sem 2,"ESC103","Programming for Problem Solving",THEORY,""
MECH,Sem 2,"ESC103L","Programming for Problem Solving Lab",LAB,""
MECH,Sem 2,"HSMC101","English",THEORY,""
MECH,Sem 2,"HSMC101L","English Language Lab",LAB,""
MECH,Sem 2,"ESC104","Workshop/Manufacturing Practices",THEORY,""
MECH,Sem 3,"BSC-105","Mathematics - III (Statistics, Probability, and Numerical Techniques)",THEORY,""
MECH,Sem 3,"MC-210","Environmental Science",THEORY,""
MECH,Sem 3,"ME-211","Thermodynamics",THEORY,""
MECH,Sem 3,"ME-212","Mechanics of Solids",THEORY,""
MECH,Sem 3,"ME-213","Material Science and Metallurgy",THEORY,""
MECH,Sem 3,"ME-214","Manufacturing Science",THEORY,""
MECH,Sem 3,"ESC – 106","Applied Electronics",THEORY,""
MECH,Sem 4,"ME-220","Thermal Engineering",THEORY,""
MECH,Sem 4,"MC 220","Constitution of India",THEORY,""
MECH,Sem 4,"ME-221","Machine Tools & Metrology",THEORY,""
MECH,Sem 4,"ME-222","Design of Machine Elements – I",THEORY,""
MECH,Sem 4,"ME-223","Instrumentation and Control Systems",THEORY,""
MECH,Sem 4,"ME-224","Kinematics of Machinery",THEORY,""
MECH,Sem 5,"PC3101ME","Fluid Mechanics & Hydraulic Machines",THEORY,""
MECH,Sem 5,"PC3102ME","Dynamics of Machines",THEORY,""
MECH,Sem 5,"PC3103ME","Machine Design",THEORY,""
MECH,Sem 5,"PC3104ME","Production Planning and Control",THEORY,""
MECH,Sem 5,"PE3105ME","Design of Thermal Systems (Professional Elective - I)",THEORY,""
MECH,Sem 5,"PE3106ME","Non-conventional Energy Sources (Professional Elective - I)",THEORY,""
MECH,Sem 5,"PE3107ME","Power Plant Engineering (Professional Elective - I)",THEORY,""
MECH,Sem 5,"HS3108ELW","Law and Engineering",THEORY,""
MECH,Sem 6,"PC3201ME","Metal Cutting Science and Unconventional Machining",THEORY,""
MECH,Sem 6,"PC3202ME","Heat Transfer",THEORY,""
MECH,Sem 6,"PC3203ME","Refrigeration and Air Conditioning",THEORY,""
MECH,Sem 6,"PE3204ME","Finite Element Analysis (Professional Elective-II)",THEORY,""
MECH,Sem 6,"PE3205ME","Fatigue Creep and Fracture (Professional Elective-II)",THEORY,""
MECH,Sem 6,"PE3206ME","Theory of Elasticity (Professional Elective-II)",THEORY,""
MECH,Sem 6,"HS3208","Managerial Economics and Accountancy",THEORY,""
MECH,Sem 6,"OE3113EC","Microprocessors and Interfacing (Open Elective-I)",THEORY,""
MECH,Sem 6,"OE3207CS","Fundamentals of Data Structures (Open Elective-I)",THEORY,""
MECH,Sem 7,"PC4101ME","CAD/CAM",THEORY,""
MECH,Sem 7,"PC4102ME","Industrial Automation",THEORY,""
MECH,Sem 7,"PC4103ME","Advanced Material Science",THEORY,""
MECH,Sem 7,"PE4104ME","Computational Fluid Dynamics (Professional Elective-III)",THEORY,""
MECH,Sem 7,"PE4105ME","Mechatronics (Professional Elective-III)",THEORY,""
MECH,Sem 7,"PE4106ME","Tool Design (Professional Elective-III)",THEORY,""
MECH,Sem 7,"PE4107ME","Additive Manufacturing (Professional Elective-IV)",THEORY,""
MECH,Sem 7,"PE4108ME","Design for Manufacturing (Professional Elective-IV)",THEORY,""
MECH,Sem 7,"PE4109ME","Fuel Cell Technology (Professional Elective-IV)",THEORY,""
MECH,Sem 7,"OE4110EE","Energy Storage Systems (Open Elective-II)",THEORY,""
MECH,Sem 7,"OE4111EC","Optimization Techniques (Open Elective-II)",THEORY,""
MECH,Sem 7,"OE4112EC","Fundamentals of IOT (Open Elective-II)",THEORY,""
MECH,Sem 8,"PC4201ME","Industry 4.0",THEORY,""
MECH,Sem 8,"PE4202ME","Non Destructive Testing (Professional Elective-V)",THEORY,""
MECH,Sem 8,"PE4203ME","Total Quality Management (Professional Elective-V)",THEORY,""
MECH,Sem 8,"PE4204ME","Tribology (Professional Elective-V)",THEORY,""
MECH,Sem 8,"PE4205ME","Automobile Engineering (Professional Elective-VI)",THEORY,""
MECH,Sem 8,"PE4206ME","Micro Electro-Mechanical Systems (Professional Elective-VI)",THEORY,""
MECH,Sem 8,"PE4207ME","Industrial Robotics (Professional Elective-VI)",THEORY,""
MECH,Sem 8,"MC 42a HS","Yoga Practice",THEORY,""
MECH,Sem 8,"MC 42b HS","NSS",THEORY,""
